Average_Hours_Worked_Per_Week,Monthly_Income,Hourly_Rate,Distance_From_Home,Promotion_gap,Absenteeism,Number_of_Companies_Worked,Job_Level,Years_in_Current_Role,Years_Since_Last_Promotion,Years_at_Company,Workload_index,Project_Count,Work_Life_Balance,Job_Satisfaction,Work_Environment_Satisfaction,Relationship_with_Manager,Total_Satisfaction_Score
42,15746,88,39,0.29411764705882354,9,3,2,8,5,16,0,5,3,3,3,2,8
36,9900,91,26,0.6,18,2,3,13,9,14,1,6,4,3,3,3,9
34,3361,28,22,2.0,18,1,1,13,4,1,0,7,3,1,4,3,8
47,17893,77,14,0.0,10,4,3,1,0,16,4,3,1,1,4,4,9
31,9199,52,19,0.19230769230769232,1,1,5,12,5,25,4,3,1,5,1,3,9
52,6782,24,15,0.34782608695652173,13,3,1,10,8,22,2,4,3,1,2,4,7
41,19130,55,1,0.32142857142857145,16,4,3,12,9,27,2,4,3,2,3,4,9
58,16177,89,40,1.4,18,3,2,6,7,4,1,8,4,4,1,3,8
57,6921,17,25,0.0,3,1,3,1,0,10,0,3,3,5,3,1,9
45,5670,98,14,1.5,3,2,1,13,3,1,0,4,2,5,2,4,11
35,3021,29,44,0.6,12,4,2,11,6,9,4,4,1,2,4,3,9
45,5585,72,10,0.7777777777777778,19,3,1,5,7,8,0,6,1,5,4,2,11
37,8684,90,10,0.16666666666666666,10,1,5,5,5,29,0,2,4,3,2,4,9
54,15926,97,26,0.2777777777777778,7,1,2,10,5,17,0,7,4,1,2,1,4
48,7755,51,24,0.3157894736842105,8,3,4,13,6,18,4,4,1,5,3,3,11
32,12507,16,5,0.21428571428571427,0,4,5,14,3,13,0,8,2,3,2,2,7
46,15241,71,7,0.27586206896551724,12,3,5,13,8,28,0,3,1,5,3,2,10
49,16285,22,26,0.5714285714285714,14,3,3,7,4,6,2,9,3,4,1,4,9
54,16452,84,44,0.21739130434782608,10,1,3,14,5,22,0,5,1,5,4,4,13
47,19411,83,26,0.14814814814814814,14,2,3,2,4,26,0,2,4,5,2,3,10
49,9782,40,26,0.037037037037037035,4,3,2,12,1,26,0,1,2,2,1,2,5
57,8634,65,11,0.6363636363636364,13,3,2,14,7,10,1,5,4,2,4,4,10
59,12260,26,45,0.3333333333333333,10,1,3,3,8,23,0,9,3,5,2,4,11
53,9758,23,14,3.0,16,2,4,13,9,2,0,9,4,3,2,1,6
33,11632,89,5,0.4090909090909091,6,2,1,8,9,21,4,8,1,1,1,2,4
37,17127,95,25,0.35,8,3,3,1,7,19,0,7,1,5,1,4,10
53,5066,27,14,0.08333333333333333,5,4,4,3,1,11,2,2,3,1,4,4,9
43,7993,48,13,0.18181818181818182,8,2,3,9,4,21,1,4,4,4,4,4,12
40,11644,45,20,1.6,18,3,4,10,8,4,3,7,2,4,2,2,8
40,3586,56,12,0.35714285714285715,9,4,5,8,5,13,0,4,2,3,4,4,11
30,7457,72,16,0.2,15,3,5,1,3,14,4,9,1,5,2,2,9
34,4077,69,48,1.4,11,2,5,11,7,4,0,6,1,2,3,2,7
36,7299,55,14,0.26666666666666666,3,3,2,3,8,29,1,8,4,4,4,3,11
44,5181,23,12,0.2,5,2,4,6,4,19,2,9,3,5,2,1,8
57,5953,24,35,0.2,7,3,1,10,2,9,3,1,2,1,4,2,7
55,10150,73,49,0.5,5,4,4,14,6,11,2,4,3,1,3,3,7
46,14416,58,40,0.03571428571428571,19,3,2,8,1,27,0,8,3,4,2,3,9
53,14144,23,27,1.1666666666666667,7,2,1,2,7,5,0,2,3,5,4,2,11
46,3322,54,10,0.42105263157894735,8,3,1,11,8,18,0,8,4,1,3,3,7
53,16088,97,49,2.0,16,1,5,11,4,1,2,1,3,3,3,3,9
47,17385,67,9,0.07692307692307693,4,1,4,2,2,25,1,3,4,2,2,4,8
45,3007,44,49,0.09090909090909091,18,3,1,8,2,21,0,8,4,3,1,2,6
54,4411,37,44,0.2857142857142857,19,1,2,8,8,27,3,3,2,5,1,3,9
50,3767,50,29,0.6666666666666666,5,3,3,5,6,8,0,3,4,4,2,3,9
40,5927,17,42,0.0,10,1,5,8,0,4,0,7,3,3,3,3,9
37,12525,83,19,0.13333333333333333,19,4,3,14,2,14,1,5,4,3,1,2,6
38,19258,61,10,0.30434782608695654,4,2,1,2,7,22,3,8,2,5,1,4,10
47,4789,76,24,0.5714285714285714,14,3,1,6,8,13,0,2,2,2,2,1,5
44,6834,44,47,0.9,3,3,1,9,9,9,0,1,2,5,1,2,8
36,14743,61,35,0.45,11,2,1,4,9,19,3,8,2,2,2,1,5
31,13810,17,19,0.09090909090909091,19,1,1,2,1,10,0,4,2,3,2,3,8
44,19308,25,7,0.16,11,1,3,11,4,24,1,9,4,5,1,1,7
41,8036,93,25,1.0,10,2,5,12,8,7,3,1,2,3,3,1,7
51,9874,37,40,1.3333333333333333,19,3,3,14,8,5,2,8,3,5,3,4,12
54,5603,84,3,0.42105263157894735,10,2,1,12,8,18,1,4,4,5,1,4,10
